name,auc_roc,avg_precision,accuracy,precision_1,recall_1,f1_1,support_1
Logistic Regression,0.9385792498303527,0.9420647914779781,0.8649708715464036,0.8700198160171416,0.8665158371040724,0.8682642913990337,62322.0
BiLSTM,0.924602057391487,0.9272944808628536,0.849726843497392,0.8518701966862128,0.8560418740567098,0.8539509405857338,62282.0
Random Forest,0.8949360927948612,0.8943507114793889,0.8192387873993688,0.8391018859052514,0.8017393536792786,0.8199952407913416,62322.0
